gene_id,transcript_name
FBgn0037385,glob3-RA
FBgn0037385,glob3-RA
FBgn0037385,glob3-RA
FBgn0250846,glob2-RC
FBgn0250846,glob2-RC
FBgn0250846,glob2-RC
FBgn0250846,glob2-RD
FBgn0250846,glob2-RD
FBgn0250846,glob2-RD
FBgn0250846,glob2-RB
FBgn0250846,glob2-RB
FBgn0250846,glob2-RB
FBgn0027657,glob1-RF
FBgn0027657,glob1-RF
FBgn0027657,glob1-RF
FBgn0027657,glob1-RF
FBgn0027657,glob1-RC
FBgn0027657,glob1-RC
FBgn0027657,glob1-RC
FBgn0027657,glob1-RC
FBgn0027657,glob1-RB
FBgn0027657,glob1-RB
FBgn0027657,glob1-RB
FBgn0027657,glob1-RB
FBgn0027657,glob1-RD
FBgn0027657,glob1-RD
FBgn0027657,glob1-RD
FBgn0027657,glob1-RD
FBgn0027657,glob1-RD
FBgn0027657,glob1-RA
FBgn0027657,glob1-RA
FBgn0027657,glob1-RA
FBgn0027657,glob1-RA
FBgn0027657,glob1-RE
FBgn0027657,glob1-RE
FBgn0027657,glob1-RE
FBgn0027657,glob1-RE
FBgn0027657,glob1-RE
