Ensembl Gene ID,Associated Gene Name
ENSG00000210049,J01415.2
ENSG00000211459,J01415.24
ENSG00000210077,J01415.3
ENSG00000210082,J01415.4
ENSG00000209082,J01415.1
ENSG00000198888,MT-ND1
ENSG00000210100,J01415.5
ENSG00000210107,J01415.6
ENSG00000210112,J01415.7
ENSG00000198763,MT-ND2
ENSG00000210117,J01415.8
ENSG00000210127,J01415.9
ENSG00000210135,J01415.10
ENSG00000210140,J01415.11
ENSG00000210144,J01415.12
ENSG00000198804,MT-CO1
ENSG00000210151,J01415.13
ENSG00000210154,J01415.14
ENSG00000198712,MT-CO2
ENSG00000210156,J01415.15
ENSG00000228253,J01415.25
ENSG00000198899,MT-ATP6
ENSG00000198938,MT-CO3
ENSG00000210164,J01415.16
ENSG00000198840,MT-ND3
ENSG00000210174,J01415.17
ENSG00000212907,MT-ND4L
ENSG00000198886,MT-ND4
ENSG00000210176,J01415.18
ENSG00000210184,J01415.19
ENSG00000210191,J01415.20
ENSG00000198786,MT-ND5
ENSG00000198695,MT-ND6
ENSG00000210194,J01415.21
ENSG00000198727,MT-CYB
ENSG00000210195,J01415.22
ENSG00000210196,J01415.23
